"Mantas Varaška","Q1891225"
"Marija Aušrinė Pavilionienė","Q3672324"
"Marija Šerienė","Q3467041"
"Marijonas Visakavičius","Q12664547"
"Max Soloweitschik","Q9220487"
"Medard Czobot","Q5765863"
"Medardas Čobotas","Q5765863"
"Mečislovas Treinys","Q12665222"
"Mečislovas Zasčiurinskas","Q12665225"
"Mečys Laurinkus","Q943042"
"Michal Mackevič","Q5765050"
"Michał Mackiewicz","Q5765050"
"Miglutė Gerdaitytė","Q6844241"
"Milda Petrauskienė","Q3672360"
"Mindaugas Bastys","Q11781375"
"Mindaugas Briedis","Q15486224"
"Mindaugas Končius","Q1936315"
"Mindaugas Puidokas","Q27598331"
"Mindaugas Stakvilevicius","Q926449"
"Mindaugas Stakvilevičius","Q926449"
"Mindaugas Subačius","Q12665594"
"Mindaugs Bastīs","Q11781375"
"Monika Navickienė","Q27537109"
"Mykolas Arlauskas","Q12666068"
"Mykolas Biržiška","Q64557"
"Mykolas Krupavičius","Q8145594"
"Mykolas Majauskas","Q20503403"
"Mykolas Pronckus","Q12666102"
"Nachmanas Rachmilevičius","Q11788637"
"Naglis Puteikis","Q1963591"
"Neringa Venckiene","Q541498"
"Neringa Venckienė","Q541498"
"Neris Germanas","Q1203798"
"Nijole Ambrazaityte","Q4064040"
"Nijolė Ambrazaitytė","Q4064040"
"Nijolė Oželytė","Q459200"
"Nijolė Oželytė-Vaitiekūnienė","Q459200"
"Nijolė Steiblienė","Q12666892"
"Nikolaj Medwedew","Q1682938"
"Nikolajus Medvedevas","Q1682938"
"Nikołaj Miedwiediew","Q1682938"
"Ona Babonienė","Q15242985"
"Ona Suncovienė","Q2688774"
"Ona Valiukevičiūtė","Q11024912"
"Orinta Leiputė","Q1750302"
"Ozer Finkelsztajn","Q11801345"
"Ozeris Finkelšteinas","Q11801345"
"Paksas Rolandas","Q296956"
"Paulius Saudargas","Q2063954"
"Paulė Kuzmickienė","Q12668703"
"Petras Algirdas Miškinis","Q2080437"
"Petras Antanas Šalčius","Q15402086"
"Petras Auštrevičius","Q2080450"
"Petras Baguška","Q2080454"
"Petras Giniotas","Q7178709"
"Petras Gražulis","Q1762792"
"Petras Karvelis","Q12669229"
"Petras Luomanas","Q2080467"
"Petras Narkevičius","Q14777562"
"Petras Nevulis","Q12669253"
"Petras Papovas","Q1193322"
"Petras Poškus","Q7178711"
"Petras Vaitiekūnas","Q589989"
"Petras Valiūnas","Q28934185"
"Petras Šakalinis","Q15505064"
"Petras Čimbaras","Q15138267"
"Petros Gražolis","Q1762792"
"Povilas Aksomaitis","Q7235884"
"Povilas Gylys","Q547404"
"Povilas Jakucionis","Q11027092"
"Povilas Jakučionis","Q11027092"
"Povilas Katilius","Q12669945"
"Povilas Pukys","Q12669958"
"Povilas Urbsys","Q11825489"
"Povilas Urbšys","Q11825489"
"Povilas Varanauskas","Q14473760"
"Pranas Tupikas","Q7238335"
"Pranas Vilkas","Q4098556"
"Pranas Žeimys","Q557926"
"Pranciskus Stanislavas Vitkevicius","Q1641547"
"Pranciškus Stanislavas Vitkevičius","Q1641547"
"Pranciškus Tupikas","Q7238335"
"Radvilė Morkūnaitė","Q459191"
"Radvilė Morkūnaitė-Mikulėnienė","Q459191"
"Raimundas Alekna","Q766701"
"Raimundas Leonas Rajeckas","Q15243041"
"Raimundas Markauskas","Q12670786"
"Raimundas Martinėlis","Q12670788"
"Raimundas Palaitis","Q937621"
"Raimundas Paliukas","Q15138320"
"Raminta Popovienė","Q12670846"
"Ramunas Karbauskis","Q145315"
"Ramunė Visockytė","Q12670876"
"Ramūnas Garbaravičius","Q9303942"
"Ramūnas Karbauskis","Q145315"
"Ramūns Karbauskis","Q145315"
"Rapolas Skipitis","Q976279"
"Rasa Budbergytė","Q12670942"
"Rasa Joknevėčienė","Q271646"
"Rasa Juknevičienė","Q271646"
"Rasa Melnikienė","Q12670950"
"Regimantas Čiupaila","Q2137805"
"Remigijus Ačas","Q8266439"
"Remigijus Žemaitaitis","Q59725"
"Remigijus Šimašius","Q1397662"
"Remėgėjos Žemaitaitis","Q59725"
"Rima Baškienė","Q541371"
"Rimantas Astrauskas","Q7334380"
"Rimantas Bašys","Q15253407"
"Rimantas Dagys","Q562964"
"Rimantas Didžiokas","Q1156203"
